RGB1,Lab1,RGB2,Lab2,DeltaE
[222. 223. 224.],"[88.69027495384216, 0.1407824158668518, -0.8231650590896606]",[221. 222. 224.],"[88.4754478931427, -0.2701731324195862, -0.8433495759963989]",0.6241223543896617
[231. 106.  97.],"[59.97223258018494, 47.708438754081726, 28.41751229763031]",[230. 106.  97.],"[59.83920097351074, 47.415200889110565, 28.248953342437744]",0.15206884230786627
